filted_data_dict 3893 3893
day, prev_pody, prev_HL, prev_body_pct, cur_position_above, cur_position_below, today_profit
2008-09-07 , 3.0039999999999907 , 3.049999999999983 , 98 , 73 , 153 , -2955.0000000000127
2008-09-08 , -2.9550000000000125 , 6.915999999999997 , -42 , 8 , 35 , -2298.000000000002
2008-09-09 , -2.298000000000002 , 3.0270000000000152 , -75 , 61 , 17 , 735.99999999999
2008-09-10 , 0.73599999999999 , 2.382000000000005 , 30 , 8 , 117 , -397.99999999999613
2008-09-11 , -0.39799999999999613 , 2.9890000000000043 , -13 , 177 , 24 , 5168.000000000006
2008-09-12 , 5.168000000000006 , 6.040999999999997 , 85 , 0 , 0 , -36.000000000001364
2008-09-14 , -3.0130000000000052 , 3.0130000000000052 , -100 , 51 , 100 , -2105.9999999999945
2008-09-15 , -2.1059999999999945 , 4.587999999999994 , -45 , 34 , 82 , 68.9999999999884
2008-09-16 , 0.0689999999999884 , 5.356999999999999 , 1 , 67 , 25 , 1806.0000000000116
2008-09-17 , 1.8060000000000116 , 4.9979999999999905 , 36 , 36 , 24 , 1480.0000000000182
2008-09-18 , 1.4800000000000182 , 3.0279999999999916 , 48 , 175 , 10 , 5074.999999999989
2008-09-19 , 5.074999999999989 , 5.6440000000000055 , 89 , 0 , 0 , 46.999999999997044
2008-09-20 , 0.046999999999997044 , 0.009999999999990905 , 470 , -9660 , 9660 , -965.9999999999798
2008-09-22 , -0.1880000000000166 , 2.7069999999999936 , -6 , 32 , 22 , -116.00000000001387
2008-09-23 , -0.11600000000001387 , 1.490000000000009 , -7 , 127 , 15 , 441.99999999997885
2008-09-24 , 0.44199999999997885 , 2.1410000000000196 , 20 , 52 , 24 , -175.00000000001137
2008-09-25 , -0.17500000000001137 , 1.663000000000011 , -10 , 3 , 150 , -245.00000000000455
2008-09-26 , -0.24500000000000455 , 2.554000000000002 , -9 , 0 , 2 , -66.0000000000025
2008-09-27 , -0.0660000000000025 , 0.0660000000000025 , -100 , 0 , 1322 , -873.0000000000189
2008-09-28 , -0.8730000000000189 , 0.8730000000000189 , -100 , 86 , 743 , -6275.0000000000055
2008-09-29 , -6.275000000000006 , 7.25 , -86 , 35 , 25 , 538.9999999999873
2008-09-30 , 0.5389999999999873 , 4.4220000000000255 , 12 , 14 , 66 , -1820.999999999998
2008-10-01 , -1.820999999999998 , 3.5800000000000125 , -50 , 25 , 65 , -1330.0000000000125
2008-10-02 , -1.3300000000000125 , 3.2750000000000057 , -40 , 76 , 31 , 798.0000000000018
2008-10-03 , 0.7980000000000018 , 3.538000000000011 , 22 , 0 , 4 , -159.9999999999966
2008-10-04 , -0.1599999999999966 , 0.1599999999999966 , -100 , 0 , 671 , -1074.0000000000123
2008-10-05 , -1.0740000000000123 , 1.0740000000000123 , -100 , 36 , 1053 , -8078.000000000003
2008-10-06 , -8.078000000000003 , 11.708000000000027 , -68 , 36 , 9 , -385.9999999999957
2008-10-07 , -0.3859999999999957 , 5.318000000000012 , -7 , 19 , 104 , -5579.000000000007
2008-10-08 , -5.579000000000008 , 6.625 , -84 , 71 , 23 , -887.0000000000005
2008-10-09 , -0.8870000000000005 , 6.320999999999998 , -14 , 18 , 72 , 1008.0000000000098
2008-10-10 , 1.0080000000000098 , 5.74199999999999 , 17 , 0 , 0 , -21.000000000015007
2008-10-12 , 1.2009999999999934 , 1.2009999999999934 , 100 , 378 , 336 , 4129.000000000019
2008-10-13 , 4.129000000000019 , 8.591000000000008 , 48 , 51 , 0 , 645.0000000000102
2008-10-14 , 0.6450000000000102 , 4.366000000000014 , 14 , 23 , 113 , -4953.000000000003
2008-10-15 , -4.953000000000003 , 5.980000000000018 , -82 , 60 , 35 , 3131.0
2008-10-16 , 3.1310000000000002 , 5.734000000000009 , 54 , 12 , 29 , -60.000000000002274
2008-10-17 , -0.060000000000002274 , 2.405000000000001 , -2 , 0 , 0 , -8.000000000009777
2008-10-18 , -0.008000000000009777 , 0.01700000000002433 , -47 , 1223 , 0 , 207.9999999999984
2008-10-19 , 0.2079999999999984 , 0.2079999999999984 , 100 , 1527 , 1008 , -1174.0000000000066
2008-10-20 , -1.1740000000000066 , 5.274000000000001 , -22 , 15 , 146 , -7383.999999999986
